"PI" "PI3P" "PI4P" "PI5P" "PI35P2" "PI45P2" "PI34P2" "PI345P3" "PI_aux" "PI3P_aux" "PI4P_aux" "PI5P_aux" "PI35P2_aux" "PI45P2_aux" "PI34P2_aux" "PI345P3_aux" "time" "time_aux"
"PI" 0 1 1 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0
"PI3P" 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0
"PI4P" 1 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0
"PI5P" 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0
"PI35P2" 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"PI45P2" 1 0 1 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0
"PI34P2" 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"PI345P3" 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0
"PI_aux" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"PI3P_aux" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"PI4P_aux" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"PI5P_aux" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"PI35P2_aux" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"PI45P2_aux" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"PI34P2_aux" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"PI345P3_aux" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"time" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"time_aux" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
